,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Адреса,Годинанареновирање
141,69999€,41.9870695865131,21.4519291484375,5,120m²,1спрат,Струја,270m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,3Балкони,3,Да,2Паркингместа,Југ,1985,Radisanska30,
142,78€,41.9870695865131,21.4519291484375,2,100m²,1спрат,Дрва,750m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,2,Да,Повеќеод4паркингместа,Југ,1990,Jurumleri,200
143,100000€,42.0052921572802,21.3768992386758,4,83m²,Приземје,Струја,196m²,Двo-семејнакуќа,Реновирана,Полунаместен,Нема,1,Да,1Паркинг,Запад,,Vlae-Preseka10b,
144,100000€,41.949632,21.502494,4,85m²,1спрат,Струја,150m²,Мултисемејнакуќа,Стара,Наместен,2Балкони,1,Да,Гаража+1Паркинг,Југозапад,1961,АнастасМитревбр17,
145,200000€,42.0161416900189,21.3484954833984,7,223m²,2спрата,Соларнаенергија,400m²,Вила,Нова,Полунаместен,1Балкон,2,Не,4Паркингместа,Исток,,ЃорчеПетров,
146,110000€,42.009423,20.971549,5,120m²,3спрата,Друго,38m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,2,Да,1Паркинг,Исток,,,2018
147,10000€,41.031728,21.329358,1,40m²,Приземје,Нема,500m²,Останато,Стара,Полунаместен,Нема,1,Не,Нема,Југозапад,,СелоЃавато-Битола,
148,350000€,41.9870695865131,21.4519291484375,6,410m²,2спрата,Друго,200m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,3Балкони,3,Да,3Паркингместа,Запад,1990,ulRilskiKongres,2010
149,60000€,42.0098220380417,21.3408045005189,2,45m²,Приземје,Нема,265m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Тераса,1,Да,1Паркинг,Исток,1965,BeazKule,1998
150,1€,42.013646,21.32586,4,110m²,Високоприземје,Струја,725m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Тераса,1,Да,1Паркинг,Исток,1990,NDameGruevGjorcePetrov,
151,40000€,41.931839,21.502835,2,50m²,Приземје,Друго,250m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Не,1Паркинг,Исток,1990,11oktomvri,
152,75000€,41.9870695865131,21.4519291484375,6,150m²,3спрата,Струја,,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,Нема,1,Да,2Паркингместа,Север,,Serava,
153,180000€,41.4185037167513,21.2865893192618,11,450m²,4спрата,Нема,7500m²,Мултисемејнакуќа,Нова,Празен,Повеќеод5балкони,4,Да,Повеќеод4паркингместа,Југоисток,2014,cZitoshe,
154,115000€,41.993825,21.436139,7,191m²,2спрата,Струја,250m²,Мултисемејнакуќа,Нова,Наместен,1Балкон,2,Да,1Паркинг,Север,2008,DZONKenedi55,
155,1111111€,42.132926,21.715878,4,200m²,2спрата,Дрва,1500m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,3Балкони,1,Не,Гаража+2Паркингместа,Југ,,Slopate,
156,По договор,41.5115721921091,20.9626869711416,9,873m²,2спрата,Дрва,500m²,Дуплекс-Лепенакуќа,Стара,Полунаместен,3Балкони,3,Не,Гаража+3Паркингместа,Југ,1944,MarshalTito177,
157,По договор,41.745515,22.19396,6,80m²,2спрата,Нема,,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Да,1Паркинг,Исток,1923,ДимитарВлахов71,1990
158,1€,41.5059184415704,20.9576954189063,6,85m²,2спрата,Дрва,320m²,Останато,Стара,Полунаместен,1Тераса,2,Да,Гаража+1Паркинг,Исток,,MirkoMileski48,
159,36000€,41.0367587690971,21.3346263904501,4,70m²,2спрата,Дрва,8m²,Двo-семејнакуќа,Реновирана,Празен,1Тераса,2,Да,Нема,Исток,19,Mukos26,2017
160,430€,41.978187,21.427388,4,180m²,1спрат,Дрва,40m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,3Балкони,1,Не,1Паркинг,Исток,,РадождаСтруга,
161,1€,41.9870695865131,21.4519291484375,11,350m²,2спрата,Друго,900m²,Мултисемејнакуќа,Реновирана,Празен,Тераса+3Балкони,4,Да,Гаража+Повеќеод4паркингместа,Југозапад,1980,DzonKenedi,2000
162,430€,41.173346,20.677493,4,1m²,1спрат,Дрва,180m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,3Балкони,1,Да,1Паркинг,Исток,,Радожда,
163,1€,41.031728,21.329358,4,102m²,Високоприземје,Струја,138m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Тераса,1,Да,1Гаража,Југ,,улЦарСамоилбр188Битола,
164,По договор,41.341065944048,21.5534009380655,6,160m²,2спрата,Струја,140m²,Двo-семејнакуќа,Реновирана,Полунаместен,1Балкон,2,Да,1Паркинг,Југоисток,,улицаСкопскабр4-Прилеп,
165,1€,41.111733,20.798579,6,140m²,2спрата,Друго,445m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,4Балкони,2,Да,2Паркингместа,Југозапад,1975,KukanaulPituGuliOhrid,2016
166,1€,41.031728,21.329358,35,77m²,1спрат,Дрва,150m²,Дуплекс-Лепенакуќа,Стара,Полунаместен,Тераса+2Балкони,2,Да,1Паркинг,Југ,,ILINDENSKA,
167,1€,41.745515,22.19396,4,100m²,1спрат,Дрва,170m²,Двo-семејнакуќа,Нова,Наместен,2Балкони,1,Да,Нема,Исток,,ulicaNikolaVapcarovbr7,2014
168,По договор,41.031728,21.329358,6,150m²,2спрата,Централно,40m²,Еднасемејнакуќа-Самостојна,Нова,Празен,3Балкони,2,Да,2Паркингместа,Југозапад,1990,MalPariz,2008
169,1€,41.6750329896346,22.132515031311,4,105m²,Високоприземје,Дрва,600m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,1,Да,Гаража+Повеќеод4паркингместа,Југоисток,1966,SDRAGOEVOSHTIP,
170,1€,41.9870695865131,21.4519291484375,4,140m²,1спрат,Нема,1000m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,1Балкон,2,Не,Повеќеод4паркингместа,Исток,2018,Ilinden,2019
171,39000€,41.9870695865131,21.4519291484375,4,80m²,Приземје,Нема,461m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,1Балкон,1,Не,1Паркинг,Запад,2020,Jaka-Ilinden-Skopje,
172,7000МКД,41.9870695865131,21.4519291484375,15,35m²,Приземје,Струја,30m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,1,Не,1Паркинг,Запад,97,peronakov,2015
173,1€,41.9870695865131,21.4519291484375,6,98m²,1спрат,Нема,25m²,Двo-семејнакуќа,Стара,Полунаместен,1Балкон,1,Да,1Паркинг,Југозапад,,Samoilova,
174,1€,41.346182,21.553379,7,300m²,3спрата,Нема,1000m²,Еднасемејнакуќа-Самостојна,Воградба,Празен,5Балкони,2,Да,4Паркингместа,Југ,2013,Prilep,
175,1€,41.978187,21.427388,5,150m²,2спрата,Друго,130m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,1,Да,1Паркинг,Југозапад,,BoroSain36,
176,1€,41.111733,20.798579,6,170m²,2спрата,Дрва,100m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,4Балкони,2,Да,1Паркинг,Југоисток,2010,ул„Прилепска“Охрид,
177,1€,41.111733,20.798579,5,150m²,2спрата,Дрва,130m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,1,Да,1Паркинг,Југозапад,,БороШаин36Охрид,
178,1€,42.132926,21.715878,9,350m²,3спрата,Централно,350m²,Двo-семејнакуќа,Стара,Празен,Тераса+2Балкони,3,Да,2Паркингместа,Југ,1987,УлЃорчеПетровбр57,2013
179,1000€,42.205478,22.333429,4,100m²,2спрата,Нема,100m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,1Балкон,2,Да,Гаража+1Паркинг,Исток,1990,Seloosice,2010
180,1€,42.052075,21.450415,4,80m²,Приземје,Нема,370m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Не,Гаража+1Паркинг,Север,,Butel1-Hosimin,
181,195000€,42.052075,21.450415,10,300m²,1спрат,Централно,400M2m²,Двo-семејнакуќа,Нова,Празен,2Балкони,2,Не,3Паркингместа,Северозапад,,,
182,1МКД,41.202685,22.574287,5,250m²,3спрата,Дрва,100m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Тераса+2Балкони,2,Не,Гаража+2Паркингместа,Југ,1990,PetarMusev,
183,1€,41.989867,21.581912,15,300m²,3спрата,Централно,1000m²,Еднасемејнакуќа-Самостојна,Нова,Полунаместен,1Балкон,Повеќеод4,Не,Повеќеод4паркингместа,Југоисток,,Ул508бр14МариноИлинден,
184,58000€,42.132926,21.715878,4,113m²,2спрата,Дрва,50m²,Останато,Стара,Полунаместен,2Балкони,1,Да,1Паркинг,Југоисток,1975,EgejskaMakedonija24,
185,1€,41.924335,22.404964,10,350m²,3спрата,Друго,250m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Повеќеод5балкони,3,Да,3Паркингместа,Исток,2010,3makedonskabrigada,2010
186,1МКД,41.202685,22.574287,6,250m²,3спрата,Дрва,3000m²,Двo-семејнакуќа,Стара,Наместен,Тераса+4Балкони,4,Да,Гаража+Повеќеод4паркингместа,Југ,,PetarMusev,
187,По договор,41.924335,22.404964,10,300m²,2спрата,Дрва,550m²,,,,,,,,,,,
188,10500€,41.031728,21.329358,25,50m²,Приземје,Нема,500m²,Еднасемејнакуќа-Самостојна,Стара,Празен,Нема,1,Не,1Паркинг,Југ,2000,сКукуречани,
189,1€,41.9870695865131,21.4519291484375,4,90m²,Приземје,Струја,60m²,Еднасемејнакуќа-Самостојна,Стара,Наместен,Нема,1,Не,2Паркингместа,Исток,00,UlMitreVlaot5a,00
190,По договор,41.111733,20.798579,8,300m²,2спрата,Дрва,150m²,Дуплекс-Лепенакуќа,Реновирана,Луксузен,1Балкон,4,Не,2Паркингместа,Југозапад,000,Охрид,000
