,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија,Километри
176,7€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2009,Дизел,Рачен,Хеџбек,Сина,Македонска,012021,100kw/136ks,Еуро5,180000
177,3800€,41.14712,22.507161,Skoda,Roomster,2009,Бензин,Рачен,Каравани,Сива,Македонска,102021,51kw/69ks,Еуро4,100000
178,111111111€,41.931839,21.502835,Mercedes-Benz,220,1998,Дизел,Рачен,Седани,Црвена,Македонска,,,,80000
179,123€,41.9672443915709,21.5501117706299,Opel,Astra,2006,Дизел,Рачен,Хеџбек,Сина,Македонска,012020,66kw/90ks,Еуро4,160000
180,1€,41.884235,22.515181,AlfaRomeo,Alfa147,2005,Дизел,Рачен,Хеџбек,Сива,Македонска,122020,88kw/120ks,Еуро4,190000
181,900€,41.346182,21.553379,VWVolkswagen,Golf,1983,Дизел,Рачен,Хеџбек,Црвена,Македонска,012020,40kw/54ks,Еуро3,35000
182,1€,41.031728,21.329358,BMW,318,2006,Дизел,Рачен,Седани,Црна,Македонска,022021,122kw/166ks,Еуро4,300000
183,2250€,42.013646,21.32586,Citroen,C25,2003,Дизел,Рачен,Седани,Сина,Македонска,032021,74kw/101ks,Еуро3,150000
184,1€,42.00877,21.45126,Nissan,Patrol,2000,Дизел,Рачен,Теренци-SUV,Бела,Македонска,052020,95kw/129ks,,200000
185,990€,42.013646,21.32586,Nissan,Primera,1995,Бензин,Рачен,Хеџбек,Сина,Македонска,032021,43kw/58ks,Еуро2,150000
186,По договор,41.949632,21.502494,BMW,X3,2008,Дизел,Рачен,Теренци-SUV,Сива,Македонска,072021,110kw/150ks,Еуро4,200000
187,1111€,41.315781,22.566826,BMW,320,2001,Бензин/Плин,Рачен,Купеа,Црна,Македонска,072021,105kw/143ks,Останато,300000
188,По договор,41.949632,21.502494,Mercedes-Benz,C220,2008,Дизел,Рачен,Хеџбек,Сива,Македонска,122021,125kw/170ks,Еуро4,200000
189,2450€,41.949632,21.502494,Citroen,XsaraPicasso,2003,Дизел,Рачен,Моноволумен,Сива,Македонска,122021,75kw/102ks,Еуро3,350000
190,41000€,41.9870695865131,21.4519291484375,Bentley,Continental,2005,Бензин,Автоматски,Купеа,Црна,Странска,012021,441kw/600ks,Останато,90000
191,1€,41.346182,21.553379,Lada,Samara,1987,Бензин,Рачен,Хеџбек,Сива,Македонска,052021,50kw/68ks,Еуро1,85000
192,1€,41.514916,21.218902,Renault,Scenic,2002,Дизел,Рачен,Моноволумен,Сива,Странска,042020,85kw/116ks,Еуро5,160000
193,1€,41.514916,21.218902,Audi,A6,2004,Дизел,Полуавтоматски,Каравани,Сива,Странска,042020,120kw/163ks,Еуро4,250000
194,1€,41.9956049346093,21.427116394043,AlfaRomeo,Alfa159,2007,Дизел,Автоматски,Каравани,Златна,Странска,,,,190000
195,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2009,Бензин,Рачен,Хеџбек,Сина,Македонска,092021,89kw/121ks,Еуро6,190000
196,1€,42.009423,20.971549,Peugeot,106,2000,Бензин,Рачен,Maлиградски,Сива,Странска,122018,1kw/1ks,Еуро2,140000
197,По договор,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2009,Дизел,Рачен,Седани,Сина,Македонска,012021,100kw/136ks,Еуро5,190000
198,5250€,42.132926,21.715878,Mini,CooperD,2008,Дизел,Рачен,Maлиградски,Бела,Македонска,122021,80kw/109ks,Еуро4,190000
199,5850€,41.9405224045992,21.513992989502,VWVolkswagen,Golf,2008,Дизел,Рачен,Хеџбек,Црна,Македонска,092021,77kw/105ks,Еуро4,200000
200,650€,41.031728,21.329358,Citroen,SAXO,2001,Дизел,Рачен,Maлиградски,Бела,Македонска,122020,42kw/57ks,Еуро4,200000
201,По договор,41.031728,21.329358,Ssangyong,REXTON,2004,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,062021,120kw/163ks,Еуро3,200000
202,По договор,41.031728,21.329358,Mercedes-Benz,E200,1996,Дизел,Рачен,Седани,Бела,Македонска,102021,70kw/95ks,Останато,200000
203,2400€,41.924335,22.404964,Opel,Astra,2006,Дизел,Рачен,Купеа,Сина,Странска,122021,150kw/204ks,Еуро4,190000
204,100€,42.132926,21.715878,Renault,Captur,2013,Бензин/Плин,Автоматски,Теренци-SUV,Црна,Македонска,032020,28kw/38ks,Еуро5,
205,1€,41.438304,22.004864,Mercedes-Benz,220,2020,Дизел,Автоматски,Седани,Сива,Странска,072018,66kw/90ks,Еуро3,250000
206,1€,41.438304,22.004864,Mercedes-Benz,220,2000,Дизел,Автоматски,Седани,Сина,Странска,072018,87kw/118ks,Еуро3,190000
207,1€,41.438304,22.004864,Mercedes-Benz,220,2013,Дизел,Рачен,Седани,Црна,Странска,072018,89kw/121ks,Еуро2,120000
208,1€,41.438304,22.004864,Mercedes-Benz,220,2002,Дизел,Автоматски,Седани,Златна,Странска,082018,66kw/90ks,Еуро4,250000
209,1€,41.9870695865131,21.4519291484375,Chevrolet,Captiva,2006,Дизел,Автоматски,Теренци-SUV,Сива,Македонска,062021,110kw/150ks,Еуро4,250000
210,По договор,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2006,Дизел,Рачен,Седани,Сина,Македонска,082021,103kw/140ks,Еуро4,150000
211,1€,41.884235,22.515181,VWVolkswagen,Polo,2005,Бензин,Рачен,Хеџбек,Сина,Странска,022021,55kw/75ks,Еуро4,200000
212,По договор,41.484224,22.089622,Opel,Astra,2005,Дизел,Рачен,Хеџбек,Сива,Македонска,062021,74kw/101ks,Еуро4,190000
213,2600€,42.009423,20.971549,BMW,320,1999,Дизел,Рачен,Седани,Сива,Македонска,122021,136kw/185ks,Еуро4,300000
214,3600€,41.438304,22.004864,Peugeot,307,2006,Дизел,Рачен,Каравани,Црна,Македонска,012020,80kw/109ks,Еуро4,200000
215,17999€,42.205478,22.333429,Mercedes-Benz,E200,2016,Дизел,Автоматски,Седани,Црна,Македонска,012019,100kw/136ks,Еуро6,180000
216,3500€,41.9870695865131,21.4519291484375,Mercedes-Benz,C220,2002,Дизел,Автоматски,Седани,Сива,Македонска,032021,105kw/143ks,Еуро4,250000
217,3200€,41.9870695865131,21.4519291484375,Peugeot,307,2007,Дизел,Рачен,Каравани,Црна,Македонска,022021,66kw/90ks,Еуро4,200000
218,1999€,41.9870695865131,21.4519291484375,BMW,525,1999,Дизел,Рачен,Седани,Сива,Македонска,122021,110kw/150ks,Еуро4,200000
219,5350€,42.205478,22.333429,VWVolkswagen,Golf,2007,Дизел,Рачен,Хеџбек,Сива,Македонска,012019,77kw/105ks,Еуро4,180000
220,3200€,41.978187,21.427388,Fiat,GrandePunto,2006,Дизел,Рачен,Хеџбек,Бела,Македонска,082021,88kw/120ks,Еуро4,200000
221,1€,42.009423,20.971549,VWVolkswagen,Polo,2012,Бензин,Рачен,Maлиградски,Сина,Македонска,092021,80kw/109ks,Еуро5,140000
222,2300€,41.949632,21.502494,Mercedes-Benz,A170,2000,Дизел,Рачен,Maлиградски,Сина,Македонска,102021,66kw/90ks,Еуро3,190000
223,По договор,41.9870695865131,21.4519291484375,Audi,A3,2007,Дизел,Рачен,Хеџбек,Сива,Македонска,012020,77kw/105ks,Еуро4,180000
224,По договор,41.346182,21.553379,Opel,Corsa,2005,Бензин,Рачен,Хеџбек,Црна,Македонска,112020,51kw/69ks,Еуро4,160000
225,2100€,42.132926,21.715878,Toyota,Celica,2001,Бензин/Плин,Рачен,Купеа,Сива,Странска,022020,107kw/145ks,Еуро3,200000
226,По договор,41.346182,21.553379,Peugeot,207,2008,Бензин,Рачен,Хеџбек,Црна,Македонска,102020,70kw/95ks,Еуро4,170000
227,По договор,41.9870695865131,21.4519291484375,Mercedes-Benz,E300,2012,Дизел,Автоматски,Седани,Црна,Македонска,122021,231kw/314ks,Еуро6,180000
228,600€,42.132926,21.715878,Daewoo,Lanos,2001,Бензин/Плин,Рачен,Седани,Зелена,Македонска,062021,75kw/102ks,Еуро3,190000
229,1600€,41.9870695865131,21.4519291484375,Ford,Mondeo,2002,Дизел,Рачен,Седани,Црна,Македонска,082021,85kw/116ks,Останато,110000
230,650€,41.031728,21.329358,Opel,Vectra,2000,Дизел,Рачен,Седани,Сина,Македонска,122021,136kw/185ks,Еуро1,130000
231,2690€,41.031728,21.329358,Hyundai,Getz,2006,Дизел,Рачен,Maлиградски,Црвена,Македонска,062020,65kw/88ks,Еуро4,180000
232,По договор,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2007,Дизел,Рачен,Maлиградски,Сива,Македонска,122018,77kw/105ks,Еуро4,200000
233,По договор,41.484224,22.089622,Opel,Astra,2005,Дизел,Рачен,Хеџбек,Сива,Македонска,062021,74kw/101ks,Еуро4,190000
234,1700€,41.989867,21.581912,AlfaRomeo,Alfa147,2002,Бензин/Плин,Рачен,Хеџбек,Црна,Македонска,122020,88kw/120ks,Еуро4,200000
235,1€,41.949632,21.502494,Peugeot,308,2009,Дизел,Рачен,Хеџбек,Црна,Македонска,122021,80kw/109ks,Еуро5,110000
236,1700€,41.51282,20.96083,Mercedes-Benz,E320,1998,Бензин,Автоматски,Седани,Црна,Странска,012017,1kw/1ks,,300000
237,849€,41.931839,21.502835,VWVolkswagen,Passat,1993,Бензин/Плин,Рачен,Каравани,Бела,Македонска,022020,66kw/90ks,Еуро3,250000
238,1€,41.884235,22.515181,VWVolkswagen,Polo,2005,Бензин,Рачен,Хеџбек,Сина,Странска,022021,55kw/75ks,Еуро4,200000
239,1250€,41.745515,22.19396,Renault,Megane,1999,Бензин,Рачен,,,Македонска,042019,81kw/110ks,Останато,170000
240,1700€,41.9870695865131,21.4519291484375,VWVolkswagen,Bora,2000,Дизел,Рачен,Хеџбек,Бела,Македонска,112021,90kw/122ks,Останато,190000
241,По договор,41.031728,21.329358,BMW,X5,2001,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,112020,135kw/184ks,Еуро2,300000
242,2199€,41.989867,21.581912,Ssangyong,MUSSO,1997,Бензин/Плин,Автоматски,Теренци-SUV,Црна,Македонска,092021,103kw/140ks,Еуро3,200000
243,123€,41.9672443915709,21.5501117706299,Seat,Ibiza,2007,Дизел,Рачен,Хеџбек,Сива,Македонска,012020,74kw/101ks,Еуро4,170000
244,1€,41.440569,22.639528,Audi,A3,1999,Дизел,Рачен,Maлиградски,Сива,Македонска,012020,81kw/110ks,Останато,
245,88€,41.516028,20.533415,VWVolkswagen,Polo,1998,Дизел,Рачен,Хеџбек,Сина,Странска,022020,47kw/64ks,Еуро2,250000
246,2€,41.14712,22.507161,Opel,Vectra,2004,Дизел,Рачен,Седани,Црна,Македонска,072021,110kw/150ks,Останато,250000
247,По договор,42.132926,21.715878,Renault,Clio,2011,Дизел,Рачен,Maлиградски,Бела,Македонска,032020,55kw/75ks,Еуро5,190000
248,75€,41.9870695865131,21.4519291484375,Mitsubishi,Pajero,2019,Дизел,Рачен,Теренци-SUV,Црна,Македонска,052019,222kw/302ks,,
249,350€,41.031728,21.329358,Zastava,128,1996,Бензин,Рачен,Maлиградски,Бела,Македонска,102019,55kw/75ks,Еуро1,120000
250,4500€,41.440569,22.639528,VWVolkswagen,Golf,2006,Дизел,Рачен,Хеџбек,Сива,Македонска,062021,77kw/105ks,Еуро4,250000
251,1€,42.132926,21.715878,Toyota,LandCruiser,1999,Бензин,Рачен,Теренци-SUV,Црна,Македонска,012019,92kw/125ks,Еуро3,5000
252,6€,41.9870695865131,21.4519291484375,BMW,320,2006,Дизел,Рачен,Хеџбек,Сива,Македонска,012019,130kw/177ks,Еуро4,190000
253,1€,42.096995,21.388571,Ford,Focus,2002,Дизел,Рачен,Хеџбек,Сива,Македонска,022021,85kw/116ks,Еуро3,200000
254,2500МКД,41.51282,20.96083,VWVolkswagen,Sharan,1999,Дизел,Рачен,Maлиградски,Сина,Македонска,012021,100kw/136ks,Еуро1,
255,900€,41.346182,21.553379,Ford,Mondeo,2000,Дизел,Рачен,Седани,Сива,Македонска,072020,66kw/90ks,Еуро3,170000
256,4500€,42.205478,22.333429,VWVolkswagen,Golf,2008,Дизел,Рачен,Каравани,Црвена,Македонска,122021,77kw/105ks,Еуро4,200000
257,1€,41.6144286503634,21.6496830546876,Ford,Galaxy,1998,Бензин,Рачен,Моноволумен,Сива,Македонска,,,,200000
258,5000€,42.0060057814437,21.3414361247151,Audi,A6,1997,Бензин/Плин,Рачен,Седани,Бела,Македонска,052021,110kw/150ks,Еуро3,250000
259,12500€,41.715954,21.770997,VWVolkswagen,Passat,2012,Дизел,Автоматски,Седани,Златна,Македонска,012021,110kw/150ks,Останато,160000
260,28€,41.865485,21.940845,Peugeot,307,2006,Дизел,Рачен,Каравани,Сина,Македонска,042021,80kw/109ks,Еуро4,190000
261,1€,42.132926,21.715878,BMW,X5,2014,Дизел,Автоматски,Теренци-SUV,Бела,Странска,122021,160kw/218ks,Еуро6,160000
262,По договор,41.9870695865131,21.4519291484375,Audi,Q5,2009,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,082021,186kw/253ks,Еуро5,190000
263,7500€,42.003691586091,21.4851676339505,VWVolkswagen,T5Caravelle,2006,Дизел,Рачен,Моноволумен,Жолта,Македонска,092021,96kw/131ks,Еуро4,200000
264,1€,41.884235,22.515181,VWVolkswagen,Vento,1996,Дизел,Рачен,Седани,Сина,Македонска,102020,47kw/64ks,Еуро2,300000
265,По договор,41.9870695865131,21.4519291484375,Seat,Leon,2006,Дизел,Рачен,Maлиградски,Црна,Македонска,082020,140kw/190ks,Еуро4,190000
266,3000€,41.373181,21.252891,Други,,1995,Дизел,Рачен,Теренци-SUV,Зелена,Македонска,042021,90kw/122ks,Еуро1,
267,По договор,41.9870695865131,21.4519291484375,Hyundai,SantaFe,2007,Дизел,Рачен,Теренци-SUV,Сина,Македонска,092021,170kw/231ks,Еуро4,170000
268,По договор,41.9870695865131,21.4519291484375,Chevrolet,Captiva,2006,Дизел,Автоматски,Теренци-SUV,Златна,Македонска,082021,140kw/190ks,Еуро4,190000
269,По договор,41.9870695865131,21.4519291484375,VWVolkswagen,Passat,2002,Дизел,Автоматски,Каравани,Сина,Македонска,042021,131kw/178ks,Еуро4,200000
270,По договор,41.9870695865131,21.4519291484375,Mercedes-Benz,E200,2006,Дизел,Автоматски,Седани,Сина,Македонска,072021,163kw/222ks,Еуро4,200000
271,По договор,41.9870695865131,21.4519291484375,Seat,Alhambra,2010,Дизел,Рачен,Моноволумен,Сива,Македонска,062021,140kw/190ks,Еуро5,190000
272,3500€,41.715954,21.770997,Ford,Fiesta,2006,Дизел,Рачен,Хеџбек,Бела,Македонска,052021,50kw/68ks,Еуро4,95000
273,По договор,41.9870695865131,21.4519291484375,Mercedes-Benz,C220,2006,Дизел,Автоматски,Maлиградски,Сина,Странска,012021,160kw/218ks,Еуро4,180000
274,По договор,41.9870695865131,21.4519291484375,Ford,Mondeo,2006,Дизел,Рачен,Каравани,Сива,Македонска,012020,77kw/105ks,Еуро4,170000
